영업소코드,영업소명,고속도로운영기관구분코드,TCS노선번호,TCS본부코드,TCS지사코드,영업형태구분코드,영업방식구분코드,전화번호,가동영업소여부,입구차로수,출구차로수,가변차로수,민자마지막IC여부,가상영업소여부
000,미지정(입구),  ,   ,   ,      ,0,0,, ,0,0,0,N,Y
047,한밭,66,   ,976,906600,1,2,042-670-2700,Y,7,7,0,N,N
048,대화,66,   ,976,906600,1,2,042-670-2700,Y,4,4,0,N,N
051,산성터널,63,   ,973,906300,1,2,,Y,0,0,0,N,N
052,천마산터널,64,   ,974,906400,1,2,,Y,6,6,0,N,N
055,팔룡터널,65,   ,975,906500,1,2,1899-8534,Y,7,7,0,N,N
997,최장*3,00,   ,   ,      ,0,0,,Y,0,0,0,N,Y
999,최장*10,00,   ,   ,      ,0,0,,Y,0,0,0,N,Y
9999,전체영업소,00,00 ,   ,      ,0,0,,Y,0,0,0,N,Y
004,중랑,44,000,954,904400,1,2,070-4220-6490,Y,0,0,0,N,N
005,화성비봉,42,000,952,904200,1,2,1877-1504,Y,6,6,0,N,N
006,서별내,41,000,951,904100,1,2,(031)515-6091,Y,3,3,0,N,N
007,동별내,41,000,951,904100,1,2,(031)515-6092,Y,3,3,0,N,N
008,우면산,40,000,950,904000,1,2,,Y,1,1,0,N,N
009,남청라(개),35,000,911,903500,1,2,,Y,0,0,0,N,N
016,소태,31,000,941,903100,1,2,(062)220-8880,Y,7,7,0,N,N
017,송암,32,000,942,903200,1,2,(062)670-7100,Y,4,4,0,N,N
018,유덕,33,000,943,903300,1,2,(062)370-0500,Y,6,6,0,N,N
019,금천,29,000,939,902900,1,2,070-4435-0641,Y,7,7,0,N,N
023,고모,27,000,937,902700,1,2,053-760-1600,Y,1,1,0,N,N
024,삼덕,27,000,937,902700,1,2,053-760-1600,Y,1,1,0,N,N
027,예전,26,000,936,902600,1,2,052)710-3066,Y,2,2,0,N,N
028,염포산,26,000,936,902600,1,2,052)710-3066,Y,6,6,0,N,N
030,용마터널,25,000,935,902500,1,2,031-566-5300,Y,4,4,0,N,N
044,일산대교,06,000,914,900600,1,2,031)988-6892,Y,6,6,0,N,N
049,앞산,20,000,930,902000,1,2,000000000000000000000001661-5388,Y,4,4,0,N,N
050,파동,20,000,930,902000,1,2,000000000000000000000001661-5388,Y,6,6,0,N,N
060,선암,29,000,939,902900,1,2,070-4437-1715,Y,6,6,0,N,N
070,미시령터널,24,000,934,902400,1,2,00000000000000000000033-635-7338,Y,6,6,0,N,N
075,명지,13,000,921,901300,1,0,051-271-8585,Y,6,7,0,N,N
076,가덕,16,000,924,901600,1,0,1644-0082,Y,20,20,0,N,N
077,거제,16,000,924,901600,1,0,1644-0082,Y,20,20,0,N,N
078,창원,21,000,931,902100,1,2,055)213-7200,Y,7,7,0,N,N
079,녹산,21,000,931,902100,1,2,055)213-7266,Y,4,4,0,N,N
080,수정산터널,22,000,932,902200,1,1,051)893-5840,Y,1,1,0,N,N
086,물왕,15,000,923,901500,1,2,031)8084-8940,Y,8,7,0,N,N
087,연성,15,000,923,901500,1,2,031-313-3013,Y,3,3,0,N,N
088,고잔,15,000,923,901500,1,2,032-422-3015,Y,8,8,0,N,N
089,정왕,15,000,923,901500,1,0,,Y,0,0,0,N,N
090,부산항대교,23,000,933,902300,1,1,1544-3888,Y,1,1,0,N,N
093,개금요금소,07,000,913,900700,1,1,051-790-7052,Y,1,1,0,N,N
094,광안대로,07,000,913,900700,1,1,051-780-0042,Y,5,5,0,N,N
095,백양터널,14,000,922,901400,1,1,051)309-2600,Y,1,1,0,N,N
096,마창대교,19,000,929,901900,1,2,055-710-2000,Y,6,6,0,N,N
