,depature_day,depature_time,depature_office,arrival_office,car_type,lead_time,unused
168,20190401,0,101,105,1,606.0,
13204,20190401,1,101,105,1,597.0,
22811,20190401,2,101,105,1,601.0,
30508,20190401,3,101,105,1,600.0,
38233,20190401,4,101,105,1,605.0,
48171,20190401,5,101,105,1,634.0,
65352,20190401,6,101,105,1,745.0,
92676,20190401,7,101,105,1,1001.0,
127593,20190401,8,101,105,1,1107.0,
165003,20190401,9,101,105,1,1047.0,
202355,20190401,10,101,105,1,1009.0,
241831,20190401,11,101,105,1,1056.0,
282578,20190401,12,101,105,1,1011.0,
322268,20190401,13,101,105,1,935.0,
362672,20190401,14,101,105,1,923.0,
403530,20190401,15,101,105,1,952.0,
444248,20190401,16,101,105,1,994.0,
484084,20190401,17,101,105,1,1069.0,
522439,20190401,18,101,105,1,1201.0,
558264,20190401,19,101,105,1,1269.0,
589062,20190401,20,101,105,1,1150.0,
614986,20190401,21,101,105,1,1005.0,
637596,20190401,22,101,105,1,907.0,
656665,20190401,23,101,105,1,832.0,
672596,20190402,0,101,105,1,613.0,
686907,20190402,1,101,105,1,611.0,
698321,20190402,2,101,105,1,610.0,
708340,20190402,3,101,105,1,604.0,
718190,20190402,4,101,105,1,608.0,
730635,20190402,5,101,105,1,619.0,
750298,20190402,6,101,105,1,657.0,
781251,20190402,7,101,105,1,748.0,
820155,20190402,8,101,105,1,892.0,
861769,20190402,9,101,105,1,933.0,
905707,20190402,10,101,105,1,1028.0,
952852,20190402,11,101,105,1,1111.0,
1000211,20190402,12,101,105,1,1384.0,
1046598,20190402,13,101,105,1,1249.0,
1093591,20190402,14,101,105,1,1158.0,
1141163,20190402,15,101,105,1,1040.0,
1188123,20190402,16,101,105,1,964.0,
1234310,20190402,17,101,105,1,937.0,
1279642,20190402,18,101,105,1,1169.0,
1322242,20190402,19,101,105,1,1124.0,
1358435,20190402,20,101,105,1,1004.0,
1388688,20190402,21,101,105,1,906.0,
1414582,20190402,22,101,105,1,834.0,
1436525,20190402,23,101,105,1,776.0,
1455497,20190403,0,101,105,1,616.0,
1471946,20190403,1,101,105,1,608.0,
1485230,20190403,2,101,105,1,607.0,
1496652,20190403,3,101,105,1,600.0,
1508213,20190403,4,101,105,1,607.0,
1522687,20190403,5,101,105,1,618.0,
1545498,20190403,6,101,105,1,653.0,
1581144,20190403,7,101,105,1,751.0,
1626051,20190403,8,101,105,1,857.0,
1674190,20190403,9,101,105,1,975.0,
1725214,20190403,10,101,105,1,1009.0,
1779125,20190403,11,101,105,1,1115.0,
1832517,20190403,12,101,105,1,1164.0,
1878406,20190403,13,101,105,1,1052.0,
1925024,20190403,14,101,105,1,979.0,
1972720,20190403,15,101,105,1,927.0,
2020106,20190403,16,101,105,1,892.0,
2066410,20190403,17,101,105,1,1003.0,
2111079,20190403,18,101,105,1,1174.0,
2153179,20190403,19,101,105,1,1286.0,
2189562,20190403,20,101,105,1,1122.0,
2219629,20190403,21,101,105,1,988.0,
2245430,20190403,22,101,105,1,888.0,
2267050,20190403,23,101,105,1,807.0,
2283993,20190404,0,101,105,1,589.0,
2298625,20190404,1,101,105,1,588.0,
2310194,20190404,2,101,105,1,589.0,
2319899,20190404,3,101,105,1,588.0,
2330626,20190404,4,101,105,1,596.0,
2344114,20190404,5,101,105,1,611.0,
2366767,20190404,6,101,105,1,660.0,
2403010,20190404,7,101,105,1,702.0,
2447310,20190404,8,101,105,1,863.0,
2494510,20190404,9,101,105,1,961.0,
2543051,20190404,10,101,105,1,1071.0,
2594927,20190404,11,101,105,1,1182.0,
2647796,20190404,12,101,105,1,1272.0,
2701423,20190404,13,101,105,1,1187.0,
2749559,20190404,14,101,105,1,1099.0,
2798356,20190404,15,101,105,1,1020.0,
2847296,20190404,16,101,105,1,973.0,
2895583,20190404,17,101,105,1,993.0,
2943832,20190404,18,101,105,1,1210.0,
2987625,20190404,19,101,105,1,1279.0,
3026106,20190404,20,101,105,1,1143.0,
3057698,20190404,21,101,105,1,1010.0,
3086167,20190404,22,101,105,1,905.0,
3108235,20190404,23,101,105,1,825.0,
3130187,20190405,0,101,105,1,599.0,
3148157,20190405,1,101,105,1,598.0,
3161537,20190405,2,101,105,1,592.0,
3174115,20190405,3,101,105,1,602.0,
3186842,20190405,4,101,105,1,598.0,
3202549,20190405,5,101,105,1,608.0,
3225970,20190405,6,101,105,1,646.0,
3263124,20190405,7,101,105,1,769.0,
3309112,20190405,8,101,105,1,915.0,
3358506,20190405,9,101,105,1,978.0,
3410820,20190405,10,101,105,1,1033.0,
3465230,20190405,11,101,105,1,1104.0,
3515150,20190405,12,101,105,1,1162.0,
3563555,20190405,13,101,105,1,1185.0,
3612629,20190405,14,101,105,1,1346.0,
3663013,20190405,15,101,105,1,1351.0,
3713832,20190405,16,101,105,1,1506.0,
3764158,20190405,17,101,105,1,1519.0,
3813637,20190405,18,101,105,1,1501.0,
3861640,20190405,19,101,105,1,1603.0,
